,제목,부제,저자,출판사,출간일,가격,지수,쪽,무게,판형,분류,리뷰수,URL
45,파이프라인 우화,,버크 헤지스 저,라인(LINE),2015-12-28,7000,31182,167,,133*210*20,재테크일반,6,http://www.yes24.com/Product/Goods/24076602
46,부의 확장,나와 세상의 부를 연결하는 법 ,"천영록 , 제갈현열 저",다산북스,2020-01-08,16000,44076,308,468,152*215*19,"성공학/경력관리, 재테크일반",85,http://www.yes24.com/Product/Goods/85749583
47,한 권으로 끝내는 실전 경매,돈 되는 집부터 맘고생 없는 명도 노하우까지 ,부동삶 저,이레미디어,2020-05-20,17500,5286,364,800,170*235*30,"경영일반, 부동산/경매, 재테크일반",13,http://www.yes24.com/Product/Goods/90087484
48,집값 높여도 잘 팔리는 부동산 인테리어,삼성물산 출신의 인테리어 전문가가 알려 주는 부동산 인테리어의 모든 것 ,남경엽(송도부자) 저,아라크네,2018-11-30,18000,17706,384,542,152*225*30,재테크일반,29,http://www.yes24.com/Product/Goods/67115278
49,"딱, 하루 배워서 블로그로 투잡하자!",나는 블로그로 투잡한다 ,류진이 저,티더블유아이지,2020-02-18,15800,9969,192,410,170*225*10,재테크일반,2,http://www.yes24.com/Product/Goods/88373042
50,부의 추월차선 : 직장인 편,30대에 억대 연봉을 만드는 55가지 역발상 ,고도 토키오 저,토트출판사,2017-02-03,13800,15942,216,401,153*224*13,"성공학/경력관리, 경제상식/경제이야기, 재테크일반",21,http://www.yes24.com/Product/Goods/35296607
51,이웃집 백만장자 변하지 않는 부의 법칙,흔들리지 않는 부는 어떻게 축적되는가 ,"Thomas J. Stanley , 세라 스탠리 팰로 저/ 김미정 역",비즈니스북스,2019-12-18,16800,18825,400,606,152*225*20,재테크일반,35,http://www.yes24.com/Product/Goods/84901010
52,박 회계사의 완벽한 재무제표 활용법,,박동흠 저,더퀘스트,2019-11-18,26000,18294,412,678,170*225*20,"회계/재무/세무, 재테크일반",5,http://www.yes24.com/Product/Goods/82732097
53,억대 연봉 만드는 고시원 창업 비법,대한민국 최초로 공개하는 ,황재달 저,미다스북스(리틀미다스),2020-03-30,19000,5100,278,508,152*225*20,"창업/장사, 창업/장사, 재테크일반",12,http://www.yes24.com/Product/Goods/89421007
54,부자 아빠 가난한 아빠 2,,로버트 기요사키 저/ 안진환 역,민음인,2012-11-27,15000,19806,448,584,148*210*30,"재테크일반, 원서 VS 번역서 [비즈니스]",55,http://www.yes24.com/Product/Goods/125459
55,주택청약의 정석,현직 분양소장이 알려주는 청약 100문 100답 ,권소혁 저,한국경제신문i ,2020-02-01,16000,10146,242,444,152*225*15,"부동산/경매, 재테크일반",33,http://www.yes24.com/Product/Goods/87313886
56,"2020-2022 앞으로 3년, 투자의 미래",,"김영익 , 강흥보 저",한스미디어,2019-10-29,16500,27753,256,430,148*210*16,"재테크일반, 경제전망",37,http://www.yes24.com/Product/Goods/80819652
57,나는 오르는 주식만 산다,확실히 수익 내는 세력주 투자의 모든 것 ,와조스키 저,길벗,2019-07-22,16000,23190,224,430,153*224*15,"주식/증권, 재테크일반",15,http://www.yes24.com/Product/Goods/76645005
58,나는 인생에서 알아야 할 모든 것을 영업에서 배웠다,중졸의 문제아에서 억대 연봉자가 된 젊은 부자의 비밀 노트 ,안규호 저,황소북스,2017-03-31,14800,6318,256,460,152*225*15,"영업/세일즈, 재테크일반",10,http://www.yes24.com/Product/Goods/37530486
59,채권투자 핵심 노하우,국내채권부터 해외채권까지 ,마경환 저,이레미디어,2018-03-30,22000,17280,403,859,153*224*32,"주식/증권, 재테크일반",27,http://www.yes24.com/Product/Goods/59259410
60,차트의 기술,한 권으로 끝내는 기술적 분석의 모든 것 ,김정환 저,이레미디어,2013-06-20,22000,20421,496,848,170*225*30,"주식/증권, 재테크일반",46,http://www.yes24.com/Product/Goods/8980635
61,구글 애드센스로 돈 벌기,수익형 블로그에서 유튜브까지 종합편 ,안동수 저,아틀라스북스,2019-07-12,17600,11490,320,502,152*225*20,"인터넷 마케팅, 재테크일반, 인터넷 마케팅, e-비즈니스",18,http://www.yes24.com/Product/Goods/76176244
62,"앞으로 10년, 대한민국 부동산","기회가 있는 지금, 과감히 행동하라! ",김장섭 저,트러스트북스,2019-01-16,16000,21084,278,488,152*220*20,"부동산/경매, 재테크일반",33,http://www.yes24.com/Product/Goods/68713516
63,MORNINGSTAR 모닝스타 성공투자 5원칙,,팻 도시 저,이콘,2006-05-25,15000,19506,495,722,153*224*30,재테크일반,15,http://www.yes24.com/Product/Goods/2109577
64,부자 되는 법을 가르쳐 드립니다,"죄책감도, 핑계도, 거짓도 없다. 정말로 효과 있는 6주 프로그램 ",라밋 세티 저/ 김태훈 역,안드로메디안,2019-12-25,19800,45171,448,654,152*225*22,재테크일반,7,http://www.yes24.com/Product/Goods/85430121
65,터틀의 방식,터틀 원년 멤버가 직접 공개하는 터틀 트레이딩 기법 ,커티스 페이스 저/ 이은주 역,이레미디어,2010-06-01,25000,9894,400,838,162*235*30,"주식/증권, 재테크일반",21,http://www.yes24.com/Product/Goods/3817734
66,당신이 부자가 되었으면 좋겠어요,소중한 사람에게 선물하고 싶은 돈과 부동산에 대한 아주 솔직한 이야기 ,박윤경 저,잇콘,2020-02-08,13500,10995,211,284,130*190*13,"부동산/경매, 재테크일반",27,http://www.yes24.com/Product/Goods/87530480
67,허영만의 6000만 원 1,박스권 하단에서 매수하라 ,허영만 저,가디언,2019-08-15,14500,7038,323,498,153*224*21,"주식/증권, 재테크일반",13,http://www.yes24.com/Product/Goods/77219973
68,주식 매매하는 법,,제시 리버모어 저/ 박성환 역,이레미디어,2018-03-30,14500,9687,302,554,153*224*20,"주식/증권, 재테크일반",27,http://www.yes24.com/Product/Goods/59298844
69,가장 빨리 부자 되는 법,,알렉스 베커 저/ 오지연 역,유노북스,2018-01-17,14500,8865,292,451,152*225*20,재테크일반,33,http://www.yes24.com/Product/Goods/57963093
70,만화 주식투자 무작정 따라하기,맨 처음 시작하는 왕초보 주식공부 ,이금희 저/ 윤재수 원저,길벗,2017-08-20,14500,10977,336,519,152*225*22,"주식/증권, 재테크일반",4,http://www.yes24.com/Product/Goods/45008491
71,절세 상식사전 2020 ,"직장인부터 자영업자, 프리랜서, 투자자, 자산가를 위한 세금 절세의 모든 것! ",유종오 저,길벗,2020-04-29,18000,1944,464,608,148*210*30,"회계/재무/세무, 재테크일반",1,http://www.yes24.com/Product/Goods/90115172
72,"마흔 이후는, 사람공부 돈 공부","40년간 금융기관 및 실전에서 경험한 돈 공부, 부동산 공부, 사람 공부 노하우 ",박길상 저,리텍콘텐츠(RITEC CONTENTS),2020-05-11,16500,5670,284,462,145*215*20,"처세술/삶의 자세, 인문/교양 일반, 재테크일반",14,http://www.yes24.com/Product/Goods/89990662
73,나는 샤넬백 대신 그림을 산다,똑똑한 여자의 우아한 재테크 ,윤보형 저,중앙북스(books),2020-03-16,16000,9156,252,436,152*215*20,"재테크일반, 중앙일보",28,http://www.yes24.com/Product/Goods/89512385
74,한눈에 보는 실전 재무제표,재무제표 서적으로 아마존 초유의 베스트셀러가 된 책 ,토마스 R. 아이텔슨 저/ 박수현 역,이레미디어,2019-11-15,13800,4788,368,540,153*224*19,"회계/재무/세무, 주식/증권, 재테크일반",20,http://www.yes24.com/Product/Goods/81006605
75,부자언니 부자특강,,유수진 저,세종서적,2015-05-07,13800,16095,272,424,140*205*16,"재테크일반, 2015년 올해의 책 후보도서",62,http://www.yes24.com/Product/Goods/17705291
76,무조건 돈이 되는 공부를 하라,,이승준 저,나비의활주로,2020-04-02,15000,11121,264,464,150*215*15,"성공학/경력관리, 재테크일반",49,http://www.yes24.com/Product/Goods/89565447
77,부동산 절세 상식사전 2020 ,"부동산의 취득에서 보유, 임대, 양도까지 모든 세금을 단 한 권으로! ",유종오 저,길벗,2020-04-29,16000,1548,280,474,148*210*20,"회계/재무/세무, 부동산/경매, 재테크일반",1,http://www.yes24.com/Product/Goods/90115250
78,허영만의 6000만 원 2,저평가우량주를 알아보는 안목 ,허영만 글그림,가디언,2019-11-25,14500,4680,336,520,152*225*21,"주식/증권, 재테크일반",21,http://www.yes24.com/Product/Goods/83545041
79,주식투자 ETF로 시작하라,실전 ETF 투자 매뉴얼 ,"systrader79 , 이성규 저",이레미디어,2018-02-05,19000,11013,393,705,153*224*24,"주식/증권, 재테크일반",36,http://www.yes24.com/Product/Goods/58181282
